Topic,Title,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
,"Campus coverage: Investigating off-campus housing, from slumlords to safety violations (Sponsored by Lumina Foundation)",2015-06-04,9:00 a.m.,2015-06-04,10:00 a.m.,False,"Jill Riepenhoff, Todd Wallack, Frank LoMonte, - **Moderated by Frank LoMonte, Student Press Law Center
Across the country, the vast majority of college students live in off-campus houses and apartments. These privately-owned residences sometimes put unsuspecting students at risk. Some are slumlords who don't clear black mold or rats from their properties. Others are landlords who ignore occupancy rates to crowd as many rent-paying students into a single property as possible, creating fire traps. Some simply ignore the most basic safety measures like installing working smoke detectors.
 | URL: http://ire.org/events-and-training/event/1574/1919/",Franklin 5&6,False
,The year in CAR,2015-06-04,9:00 a.m.,2015-06-04,10:00 a.m.,False,"Megan Luther, Alex Richards - What were the big stories of the year? What were the most creative uses of data analysis? See what your colleagues have been up to and pick up some story ideas at the same time.
 | URL: http://ire.org/events-and-training/event/1574/1894/",Franklin 3&4,False
,"Analytics to find and grow your audience, from the reporter's perspective (Sponsored by Knight Foundation)",2015-06-04,9:00 a.m.,2015-06-04,10:00 a.m.,False,"Benjamin Herold, Rachael Delgado - Working journalists are increasingly responsible not just for reporting the news, but for making sure readers can find and engage with our work online and via social media. Newsrooms have more data than ever to help us fulfill these new responsibilities, and there has been a flourishing of new ideas and digital tools aimed at helping us better use that information. But a big disconnect remains. How can everyday reporters keep up with all the changes, without making ourselves miserable? Education Week staff writer Benjamin Herold and Director of Knowledge Services Rachael Delgado will share their process for using analytics to grow the readership of Ed Week's Digital Education blog by more than 90% - and produce smarter, more timely content in the process. 
 | URL: http://ire.org/events-and-training/event/1574/2112/",Franklin 7,False
tableau,Interactive data graphics in Tableau Public (Hosted by Tableau) **pre-registered attendees only,2015-06-04,9:00 a.m.,2015-06-04,10:30 a.m.,False,"Andrew Cheung - Learn how to create beautiful, interactive data visualizations on short deadlines. No programming required. You'll learn everything you need to build data visualizations and publish them to your website just like a video. We'll teach you how to:
Tableau Public is a free tool for journalists. No previous experience with Tableau is necessary to take this class. Laptops will be provided.  This is a free training, however you must be registered for the IRE Conference to attend this class.  Limited seats are available.  
This class is full. There may be a few seats available on-site. If you are interested, please arrive a few minutes before the class begins and the instructors will let you know how many seats may be available.
 | URL: http://ire.org/events-and-training/event/1574/2076/",Room 404,False
,Finding the story: The Census,2015-06-04,9:00 a.m.,2015-06-04,10:00 a.m.,False,"Paul Overberg - We'll start with a typical journalistic frame: Post-recession, your community faces heavy social strain. How do you tell that story in new ways, accurately, in context, out through the ripples? We'll work through critical prep, then how to get and interview the data. To get the most from this session, you should have some experience working with data in spreadsheets.
 | URL: http://ire.org/events-and-training/event/1574/2032/",Room 401,False
,Broadcast: What does the audience want?,2015-06-04,9:00 a.m.,2015-06-04,10:00 a.m.,False,"Graeme Newell - How does your newsroom pick investigation topics? In most newsrooms, this important decision is based solely on the hunch of a reporter. Too often, this strategy leads to poor ratings when we create investigations that newsrooms love, but viewers hate. Viewer researcher Graeme Newell reveals the results of a comprehensive study. You'll learn the topics and storytelling techniques that drive ratings. He'll reveal the hopes, worries and frustrations that affect viewers the most and you'll learn how to drive ratings by putting the viewers' priorities at the center of your storytelling process.
 | URL: http://ire.org/events-and-training/event/1574/1925/",Franklin 9&10,False
,Reporting on the security state in your own community,2015-06-04,9:00 a.m.,2015-06-04,10:00 a.m.,False,"Trevor Aaronson, Kate Martin, Tara McKelvey, Mark Hosenball - You don't need to live in Washington, D.C., or New York City to report on national security. From local police using high-tech cell phone surveillance equipment to local counterterrorism task forces recruiting informants to military equipment in the hands of your local sheriff, this panel will provide story ideas and practical tips for you to begin reporting from your community on our growing security state.
 | URL: http://ire.org/events-and-training/event/1574/1897/",Salon K,False
,INN: Best practices in nonprofit news -  The latest on how to fund your content,2015-06-04,9:00 a.m.,2015-06-04,10:00 a.m.,False,"Lisa Williams, Anne Galloway, Joaquin Alvarado, Richard Tofel - **Moderated by Lisa Williams, Institute for Nonprofit News
Leaders of large and small nonprofits share their successes and what truly has worked as they have built their organizations.
 | URL: http://ire.org/events-and-training/event/1574/1940/",Room 414-415,False
,Getting data from the web: From the quick grab to the intricate scrape (Sponsored by Knight Foundation),2015-06-04,10:10 a.m.,2015-06-04,11:10 a.m.,False,"Samantha Sunne, Matt Wynn - Grabbing data and information down off the web is a skill any reporter can use, so come learn to do it with point-and-click tools, web tricks and even writing your own scripts. We'll go over ready-to-use scrapers like import.io, Python libraries like BeautifulSoup (or whatever) and the mechanisms that allow these scrapers work. This session is for those who know what web scrapers are but not how to use them - or even who don't know what web scrapers are.
 | URL: http://ire.org/events-and-training/event/1574/2003/",Franklin 7,False
,Show & Tell (Thursday - #2),2015-06-04,10:10 a.m.,2015-06-04,11:10 a.m.,False,"Anzio Williams - **Moderated by Anzio Williams, WCAU-Philadelphia
Show & Tell sessions allow you to share your investigations with colleagues from around the country. Veteran broadcasters will moderate each session. Each slot runs for 10 minutes and includes a 5-minute break.
Reserve a slot online: Thursday sign-ups open at 9 a.m. on Wednesday. For more information and to sign up, go here.
 | URL: http://ire.org/events-and-training/event/1574/2061/",Franklin 8,False
,The right to photograph & record in public: On the ground & in the air,2015-06-04,10:10 a.m.,2015-06-04,11:10 a.m.,False,"Mickey Osterreicher - Ever since 911 there has been a heightened awareness of anyone taking pictures or recording events in public. This issue has only been exacerbated by the widespread proliferation of cellphone cameras and the ability of everyone to post photos and recordings on the Internet, where they may be viewed and shared. Video recordings of police have played an integral role in many recent news stories, but questions still remain about the rights of citizens and journalists to photograph and record in public. This session will examine constitutional issues, search and seizure, exigent circumstances, and qualified immunity as well as provide practical advice regarding the best ways to handle these situations. There will also be discussion of privacy concerns, police bodycams and the latest legal updates on use of drones for newsgathering.
 | URL: http://ire.org/events-and-training/event/1574/1903/",Salon L,False
,How to sort out science for your investigation,2015-06-04,10:10 a.m.,2015-06-04,11:10 a.m.,False,"Jeff Donn, Jon Kamp, Kendall Taggart, Ellen Gabler - **Moderated by Ellen Gabler, Milwaukee Journal Sentinel
Learn how to decode complex, scientific issues, medical terminology and other brain-busting topics that seem to require a PhD to understand.  (You don't need one.) We'll share strategies on understanding difficult documents, when to enlist the help of experts or hire help, and how to work with sources so you know you are getting it right.
 | URL: http://ire.org/events-and-training/event/1574/1902/",Salon K,False
,Broadcast: Interviews that work,2015-06-04,10:10 a.m.,2015-06-04,11:10 a.m.,False,"Wendy Halloran, Tony Kovaleski, Noah Pransky - This panel is a deep dive into the art of the interview, taking you inside the process from preparation to execution. In addition to hearing what works (and what doesn't), you will leave with the top ten tips from experienced broadcasters who have been conducting both scheduled and unscheduled interviews for decades. Panelists will answer specific questions to help you expose the truth, manage “talking points,” get decision-makers in the hot seat and avoid PIO interviews.
 | URL: http://ire.org/events-and-training/event/1574/1901/",Franklin 9&10,False
,What the hell is R and all the other questions you're afraid to ask,2015-06-04,10:10 a.m.,2015-06-04,11:10 a.m.,False,"Tisha Thompson, Sisi Wei - Ever wondered what all those programming and computer-assisted reporting terms mean?  What is R and why you would want to use it? What is the difference between Ruby, Python and Javascript? Why are there so many terms with the letters J and SQL?  Welcome to our no-judgment-starting-at-zero session even vets learn from. We'll review tech concepts and jargon you'll likely hear at the conference this year, explain what they mean, why they're useful and point you to the sessions that can teach you how to use the terms you now understand.
This session is good for: Anyone who has felt (even remotely) lost in the sea of technical terminology.
 | URL: http://ire.org/events-and-training/event/1574/1900/",Franklin 3&4,False
,On The beat: Business (Sponsored by Bloomberg),2015-06-04,10:10 a.m.,2015-06-04,11:10 a.m.,False,"Brian Fechtel, Cary Spivak, Jason Zweig, Daniel Gilbert - **Moderated by Daniel Gilbert, The Wall Street Journal
Imagine a prominent credit counselor who secretly profits from payday lending. Investors who buy foreclosed houses and stick former owners with the tax bill. Life insurers that fail to disclose the actual costs of their policies. Regulators who fail to notice all of the above. They are real. We'll tell you how we found them and where to go digging in nonprofit, corporate, real estate and other state and federal records.
 | URL: http://ire.org/events-and-training/event/1574/2029/",Franklin 5&6,False
,"Covering policing, from shootings to community relations (Sponsored by Criminal Justice Journalists)",2015-06-04,10:10 a.m.,2015-06-04,11:10 a.m.,False,"Coulter Jones, William Freivogel, Jeremy Kohler, Robert O'Harrow, Nancy Phillips - **Moderated by Nancy Phillips, The Philadelphia Inquirer
Journalists are paying much more attention to a broad range of policing tactics around the U.S. after the controversial police shooting last summer in Ferguson, Mo. Two reporters who covered Ferguson and its aftermath will speak, along with a journalist who investigated the lack of reliable data on police shootings and a reporter who has documented police seizures of billions of dollars worth of cars, cash, and other property without warrants or convictions.
 | URL: http://ire.org/events-and-training/event/1574/1899/",Franklin 1&2,False
,"INN: Mergers, acquisitions and memos of understanding",2015-06-04,10:10 a.m.,2015-06-04,11:10 a.m.,False,"Andy Hall, Lorie Hearn, Joe Bergantino, Laura Frank, Margaret Freivogel - **Moderated by Laura Frank, Rocky Mountain PBS
With collaboration and partnerships a fundamental part of INN members operations, this session will offer guidance on business arrangements with universities and partners and tips on how to do a successful merger.
 | URL: http://ire.org/events-and-training/event/1574/2116/",Room 414-415,False
,Make Photoshop work for you,2015-06-04,10:10 a.m.,2015-06-04,11:10 a.m.,False,"Lena Groeger - Ever want to create an animated gif? How about a easy way to crop, rotate and resize 1,000 photos at once? Or extract hidden information from a photograph using the perspective tool? You'll learn these tricks and more in a hands-on workshop aimed at showing you the amazing (and extremely useful) things that Photoshop can do for you.
 | URL: http://ire.org/events-and-training/event/1574/2033/",Room 401,False
tableau,Advanced design and interaction in Tableau Public (Hosted by Tableau) **pre-registered attendees only,2015-06-04,11:00 a.m.,2015-06-04,12:30 p.m.,False,"Dash Davidson - Analyzing data and coming up interactive visualizations is easy in Tableau but sometimes getting everything looking polished isn't. In this session you will learn how to break away from the default formatting in Tableau Public to create interactive data graphics that match your style guides and engage your readers. 
We will teach you how to:
Tableau Public is a free tool for journalists. Some familiarity with the product is recommended; a beginner session earlier in the day should prepare you enough for this session. This is a free training, however you must be registered for the IRE Conference to attend this class.  Limited seats are available. 
This class is full. There may be a few seats available on-site. If you are interested, please arrive a few minutes before the class begins and the instructors will let you know how many seats may be available. 
 | URL: http://ire.org/events-and-training/event/1574/2077/",Room 404,False
,Mobile ready visualizations with Silk (Sponsored by Knight Foundation),2015-06-04,11:20 a.m.,2015-06-04,12:20 p.m.,False,"Alex Salkever - Silk is an all-purpose tool for data journalism that lets anyone convert spreadsheets into an online database and data visualizations in minutes. In this demo session, we'll pull data about 2015 killings by the police in California, aggregated from Facebook, and turn it into maps, charts, and interactive tables. Then, we'll upload data from the 500 most successful Kickstarter technology projects in 2014, do some quick visual analysis, save and publish visualizations.
 | URL: http://ire.org/events-and-training/event/1574/1909/",Franklin 7,False
,Campus coverage: Key data for investigating college sports (Sponsored by Lumina Foundation),2015-06-04,11:20 a.m.,2015-06-04,12:20 p.m.,False,"Dan Bauman, Paula Lavigne, Jill Riepenhoff, Steve Berkowitz - **Moderated by Jill Riepenhoff, The Columbus Dispatch
It's one of the most under-investigated departments on many campuses yet the most visible and ripe for scrutiny. This panel will show you where and how to dig. Cover a private school where public records rarely exist? Find out where to find them because there's almost always a paper trail.
 | URL: http://ire.org/events-and-training/event/1574/1908/",Salon L,False
,The year in investigative reporting,2015-06-04,11:20 a.m.,2015-06-04,12:20 p.m.,False,"Jaimi Dowdell, Mark Horvit - Pick up some story ideas and be inspired with the highlights of some of the year's best investigations.
 | URL: http://ire.org/events-and-training/event/1574/1939/",Salon K,False
,Consumer investigations,2015-06-04,11:20 a.m.,2015-06-04,12:20 p.m.,False,"Jim Donovan, Cindy Galli, Randy Mac - It's the news everyone can use. Consumer investigations give your viewers and readers high value when we take special interest in their safety and their wallets. So how do we make them unique? This panel will take you through best practices to organize, wade through and advance consumer investigations. We'll talk laws, finding sources, and backgrounding and approaching businesses. Plenty of links and story ideas, too.
 | URL: http://ire.org/events-and-training/event/1574/1896/",Franklin 9&10,False
,A conversation with Seymour Hersh,2015-06-04,11:20 a.m.,2015-06-04,12:20 p.m.,False,"Leonard Downie, Jr, Seymour Hersh - **Moderated by Leonard Downie, Jr., ASU Walter Cronkite School of Journalism
From Mai Lai and Watergate to Osama Bin Laden, singular investigative journalist Seymour Hersh discusses his work.
 | URL: http://ire.org/events-and-training/event/1574/1905/",Franklin 1&2,False
,Show & Tell (Thursday - #3),2015-06-04,11:20 a.m.,2015-06-04,12:20 p.m.,False,"Patti Dennis - **Moderated by Patti Dennis, KUSA/9News Denver
Show & Tell sessions allow you to share your investigations with colleagues from around the country. Veteran broadcasters will moderate each session. Each slot runs for 10 minutes and includes a 5-minute break.
Reserve a slot online: Thursday sign-ups open at 9 a.m. on Wednesday. For more information and to sign up, go here.
 | URL: http://ire.org/events-and-training/event/1574/2062/",Franklin 8,False
,Uncovering fraud and malfeasance,2015-06-04,11:20 a.m.,2015-06-04,12:20 p.m.,False,"David Cay Johnston, Angela Couloumbis, Craig McCoy, Michael LaForgia, Susan Carroll - **Moderated by David Cay Johnston, Newsweek
Michael Laforgia explored how government re-victimized the homeless. Brooks Williams chronicled the overreach of prosecutors. Angela Couloumbis and Craig McCoy shed light on a state attorney general who killed cases and subpoenas. Learn how to use smarts and patience, and interviews and documents to get past official obfuscation and lies – and then tell stories that will be as easy to read as they were hard to report.
 | URL: http://ire.org/events-and-training/event/1574/2099/",Franklin 5&6,False
,On the beat: Criminal justice,2015-06-04,11:20 a.m.,2015-06-04,12:20 p.m.,False,"Cheryl W. Thompson, Kelvyn Anderson, Alec Klein, John Sullivan - **Moderated by John Sullivan, The Washington Post
There are plenty of investigative stories to be uncovered in the area of criminal justice, from law enforcement to the court system. This panel will provide tips and strategies on how to find those stories in a variety of areas and how to dig beyond breaking news and day-to-day coverage to find the bigger picture.
 | URL: http://ire.org/events-and-training/event/1574/1906/",Franklin 3&4,False
,INN: The latest on foundations and grants,2015-06-04,11:20 a.m.,2015-06-04,12:20 p.m.,False,"Brant Houston, Sue Hale, Charles Lewis, Irma Simpson - **Moderated by Brant Houston, University of Illinois
This session will discuss recent trends in foundation funding of nonprofit investigative newsrooms. Panelists will share tips and principles on how to find foundations that will support a newsroom's work and how to write successful grant applications.
 | URL: http://ire.org/events-and-training/event/1574/2117/",Room 414-415,False
,Designing database applications to increase page views and ad revenues,2015-06-04,11:20 a.m.,2015-06-04,12:20 p.m.,False,"Edward Garcia - With journalists facing increasing pressure to create data interactives that engage more readers, it's important to optimize data-driven applications for interactivity, traffic and page views. Learn how to design and deploy revenue-generating applications that will continue to serve as long-lasting data assets. This demo will showcase real-world examples and techniques for building “share-worthy” hyper-local applications. Technologies covered: Caspio, Google maps, GPS and location proximity, AJAX, CDN, data feeds, SEO, and cross-channel deployment (web, mobile and social).
NOTE: Pre-registration is not required, but is recommended to receive your free Caspio account pre-loaded with demo apps for the session.
Click here to sign up.
**This session is good for: Everyone. All attendees receive a free permanent Caspio account for life.
 | URL: http://ire.org/events-and-training/event/1574/2034/",Room 401,False
,INN: Lunch and networking on your own,2015-06-04,12:30 p.m.,2015-06-04,2:20 p.m.,False,,Room 414-415,False
,Lunch on your own (Thursday),2015-06-04,12:30 p.m.,2015-06-04,2:30 p.m.,False,,See printed schedule for room information,False
tableau,Intro to data stories in Tableau Public (Hosted by Tableau) **pre-registered attendees only,2015-06-04,1:30 p.m.,2015-06-04,3:00 p.m.,False,"Ben Jones - Got a dataset and an impending deadline to write a story on it? Find the scoop and convey it with beautiful, interactive visualizations in a serial narrative using Tableau Public. It's a fast, easy to use, and free tool for journalists. Visualizations will publish using any CMS and no programming is required. 
We'll teach you how to:
Tableau Public is a free tool for journalists. No previous experience with Tableau is necessary to take this class. Laptops will be provided.  This is a free training, however you must be registered for the IRE Conference to attend this class.  Limited seats are available.  
This class is full. There may be a few seats available on-site. If you are interested, please arrive a few minutes before the class begins and the instructors will let you know how many seats may be available.
 | URL: http://ire.org/events-and-training/event/1574/2078/",Room 404,False
,IRE Board Meeting,2015-06-04,2:00 p.m.,2015-06-04,6:00 p.m.,False,"The IRE Board of Directors will meet at 2 p.m. Thursday in Philadelphia as part of the annual conference.  The meeting is open to all IRE members.
",Conference Suite III,False
,Covering police shootings in ethnic communities (Sponsored by New America Media),2015-06-04,2:30 p.m.,2015-06-04,3:30 p.m.,False,"Anthony Advincula, D. Kevin McNeir, Rong Xiaoqing, Sabrina Vourvoulias, Linn Washington - **Moderated by Anthony Advincula, New America Media
Reporters and editors working for ethnic media will talk about their own experiences covering recent police shootings that sparked a spate of unrests in different parts of the country. This panel will look at how they approach these racially and politically sensitive issues through their own perspectives and what they learned from their reporting. How did the Chinese community react after a Chinese-American police officer was convicted of shooting an unarmed black man in New York City? How did the Latino publications cover the police shooting death of a Mexican farm worker in Washington? And, is there a double standard in black media coverage of police shootings?
 | URL: http://ire.org/events-and-training/event/1574/2110/",Salon K,False
,Broadcast deep dives 1,2015-06-04,2:30 p.m.,2015-06-04,3:30 p.m.,False,"Brian Collister, Harry Hairston III, Russ Ptacek - From undercover and interview techniques to research and records requests, watch some of the best investigative stories of the year and hear from the journalists behind the work.
 | URL: http://ire.org/events-and-training/event/1574/2059/",Franklin 8,False
,INN: Legal really matters - Expert advice and listening to what members need,2015-06-04,2:30 p.m.,2015-06-04,3:30 p.m.,False,"Denise Malan, Jeff Hermes, Katie Townsend - **Moderated by Denise Malan, INN/IRE
Townsend and Hermes give tips on FOI requests, getting pro bono representation, and making sure you have necessary legal protections.
 | URL: http://ire.org/events-and-training/event/1574/2119/",Room 414-415,False
,Privatizing government services (Sponsored by Bloomberg),2015-06-04,2:30 p.m.,2015-06-04,3:30 p.m.,False,"Blake Ellis, Pat Beall, Pratap Chatterjee, Melanie Hicken, Carol Marbin Miller - **Moderated by Pat Beall, The Palm Beach Post
Hailed as an alternative to pricey bureaucracy, putting public services into the hands of private companies is more popular than ever. Businesses now handle everything from foster care to court fine collections to prisons to the infrastructure of war. But taxpayer savings can be hit or miss, political cronyism is thriving and in some cases, privatization has led to abuse and death. In this session, reporters talk about the role of political influence in oversight, the ins and outs of contract math, “trade secret” exemptions to public records laws and uncovering patterns of abuses.
 | URL: http://ire.org/events-and-training/event/1574/2082/",Franklin 9&10,False
,Engaging your audience,2015-06-04,2:30 p.m.,2015-06-04,3:30 p.m.,False,"Jim Brady, Jodi Gersh, Terry Parris Jr., Jennifer Preston - **Moderated by Jennifer Preston, Knight Foundation
Your readers are up for grabs in a way they've never been before. There are thousands of news sites -- not to mention Google, Facebook, Twitter, Snapchat, Netflix and others -- competing for their time. How well news organizations engage and involve the community will go a long way toward determining its traffic, its impact and its fate. Hear how organizations big and small, legacy and startup, profit and non-profit are addressing engagement.
 | URL: http://ire.org/events-and-training/event/1574/1913/",Salon L,False
,From facts to data: Making your stories airtight,2015-06-04,2:30 p.m.,2015-06-04,3:30 p.m.,False,"Alleen Brown, David Donald, Shawn McIntosh - **Moderated by Shawn McIntosh, The Atlanta Journal-Constitution
Tips and techniques to improve accuracy, reduce legal risk and keep your credibility intact as you tackle complex investigative stories. The session will include tips for making meaning out of data while keeping your facts straight and staying safe from all-too-common data journalism pitfalls.
 | URL: http://ire.org/events-and-training/event/1574/1929/",Franklin 3&4,False
,Pop Up Archive: Helping Google (and new audiences) find audio (Sponsored by Knight Foundation),2015-06-04,2:30 p.m.,2015-06-04,3:30 p.m.,False,"Bailey Smith, Anne Wootton - The audience for audio is growing: audio offers a level of engagement unmatched by text, images, or even video. Journalists are better poised now than ever before to reach audiences when they're driving, exercising, or doing the dishes. In this session, Pop Up Archive will share some lessons we've learned about making audio discoverable on the web. We'll cover topics like the scaling power of machine transcripts, how search engines find audio, and the challenges of sharing sound. Pop Up Archive uses speech-to-text software trained specifically for news media to process thousands of hours of sound from all over the web. Our goal is to speed up production workflows and help audiences discover and share spoken word audio quickly and reliably.
 | URL: http://ire.org/events-and-training/event/1574/1914/",Franklin 7,False
,Red flags: Finding fraud in government programs,2015-06-04,2:30 p.m.,2015-06-04,3:30 p.m.,False,"John Sopko, Danielle Brian - **Moderated by Danielle Brian, Project On Government Oversight
Learn about how to track down instances of fraud from an expert -- the special inspector general for Afghanistan reconstruction, John Sopko. The former mob prosecutor will talk about how to find examples of waste and mismanagement, how officials like him can work with journalists and the vital role investigative work plays when billions of government dollars are at stake.
 | URL: http://ire.org/events-and-training/event/1574/1910/",Franklin 1&2,False
,Coding for journalists (pre-registration required),2015-06-04,2:30 p.m.,2015-06-04,5:50 p.m.,False,"Alex Richards - This half-day session will cover the ways basic programming in Python can collect data for stories from the web, assist with repetitive tasks and speed your reporting. The workshop will cover the fundamental coding concepts and libraries you need to know about, as well as how to apply them to your own stories. 
This course is designed for beginners who already have some experience with spreadsheets, SQL, the command line and basic HTML. Preregistration is required and seating is limited. Laptops will be provided for the training.
NOTE: Registration is required for this session. Click here to sign up.
 | URL: http://ire.org/events-and-training/event/1574/1890/",Room 401,False
,Management track: Managing the multiplatform investigation,2015-06-04,2:30 p.m.,2015-06-04,3:30 p.m.,False,"Lawan Hamilton, Lorie Hearn, Robert Salladay, Peter Bale - **Moderated by Peter Bale, The Center for Public Integrity
Producing a great project means that it in addition to strong reporting, the story can be told in a variety of ways, taking advantage of a multitude of options. Video, audio, interactive data presentations, apps -- the options are dizzying and daunting. This session looks at ways to juggle all the pieces of a multiplatform project and how to decide what to deploy.
 | URL: http://ire.org/events-and-training/event/1574/1911/",Franklin 5&6,False
tableau,Data discovery: Finding stories in data (Hosted by Tableau) **pre-registered attendees only,2015-06-04,3:30 p.m.,2015-06-04,5:00 p.m.,False,"Jewel Loree - Learn how to use Tableau to dive deeper into your data and ask powerful questions. How do you go about finding stories in data? How do you find data to support your stories? To help answer these questions, we will embark upon a data discovery journey, teasing narrative stories out of data.
We'll learn how to:
Some experience with Tableau Public is recommended. Taking one of the earlier Tableau sessions should suffice. Laptops will be provided.  This is a free training, however you must be registered for the IRE Conference to attend this class.  Limited seats are available.  
This class is full. There may be a few seats available on-site. If you are interested, please arrive a few minutes before the class begins and the instructors will let you know how many seats may be available. 
 | URL: http://ire.org/events-and-training/event/1574/2079/",Room 404,False
,50 Apps in 30 Minutes (plus 30 minutes of other cool mobile stuff),2015-06-04,3:40 p.m.,2015-06-04,4:40 p.m.,False,"David Ho - Supercharge your smartphone for reporting! Can't stand the idea of being without your phone? Then you can't be without this session. WSJ's executive mobile editor will help you turn your phone into a Swiss Army Knife of journalism goodness with this always-updating and fun session on apps and tools for gathering and producing news. Want to use your phone to record interviews? Take better notes? Transcribe audio? Edit video? Track Tweets? Talk on camera? ID airplanes? Translate Swahili? There's an app for that. Plus, learn about more tips, tricks and mobile gear. The mobile age is here. You should be here, too.
 | URL: http://ire.org/events-and-training/event/1574/1915/",Franklin 1&2,False
